time,d,theta1,theta2
0.0,2.0,0.5223148218060486,-1.5040801783846713
0.03155778894472362,2.031536840974869,0.5538726107507724,-1.5040801783846718
0.06311557788944724,2.0629480942404688,0.585430399695496,-1.5040801783846718
0.09467336683417087,2.094108672209682,0.6169881886402196,-1.5040801783846718
0.1262311557788945,2.1248944855480767,0.6485459775849431,-1.5040801783846711
0.1577889447236181,2.1551829373291493,0.6801037665296668,-1.5040801783846713
0.18934673366834173,2.1848534112464195,0.7116615554743906,-1.5040801783846718
0.22090452261306537,2.2137877519381886,0.743219344419114,-1.5040801783846713
0.252462311557789,2.2418707355121983,0.7747771333638376,-1.5040801783846711
0.2840201005025126,2.2689905283964267,0.8063349223085614,-1.5040801783846718
0.3155778894472362,2.295039132688774,0.8378927112532848,-1.5040801783846713
0.34713567839195986,2.3199128162321303,0.8694505001980084,-1.5040801783846713
0.37869346733668346,2.3435125257021707,0.901008289142732,-1.5040801783846713
0.4102512562814071,2.3657442810628444,0.9325660780874558,-1.5040801783846718
0.44180904522613074,2.3865195498187437,0.9641238670321792,-1.5040801783846711
0.47336683417085434,2.4057555995739843,0.995681655976903,-1.5040801783846713
0.504924623115578,2.423375827493613,1.0272394449216264,-1.5040801783846713
0.5364824120603016,2.4393100653555493,1.05879723386635,-1.5040801783846713
0.5680402010050252,2.453494858978267,1.090355022811074,-1.5040801783846718
0.5995979899497488,2.4658737209114543,1.1219128117557973,-1.5040801783846713
0.6311557788944724,2.4763973553833893,1.1534706007005209,-1.5040801783846713
0.6627135678391961,2.4850238546092194,1.1850283896452447,-1.5040801783846713
0.6942713567839197,2.4917188656784024,1.2165861785899685,-1.5040801783846713
0.7258291457286433,2.496455727356721,1.2481439675346917,-1.5040801783846713
0.7573869346733669,2.499215576258088,1.2797017564794158,-1.5040801783846713
0.7889447236180905,2.4999874219633376,1.3112595454241391,-1.5040801783846713
0.8205025125628141,2.498768190786868,1.342817334368863,-1.5040801783846713
0.8520603015075378,2.4955627380168375,1.3743751233135861,-1.5040801783846713
0.8836180904522615,2.4903838285801734,1.40593291225831,-1.5040801783846713
0.9151758793969851,2.483252086209391,1.4374907012030336,-1.5040801783846713
0.9467336683417087,2.4741959113136556,1.4690484901477574,-1.5040801783846713
0.9782914572864323,2.4632513678811376,1.500606279092481,-1.5040801783846718
1.009849246231156,2.450462039863058,1.5321640680372046,-1.5040801783846718
1.0414070351758795,2.435878857611323,1.5637218569819282,-1.5040801783846713
1.0729648241206031,2.419559895060932,1.5952796459266518,-1.5040801783846713
1.1045226130653267,2.401570138464819,1.6268374348713754,-1.5040801783846711
1.1360804020100503,2.3819812276020924,1.658395223816099,-1.5040801783846713
1.167638190954774,2.3608711704902405,1.6899530127608227,-1.5040801783846713
1.1991959798994976,2.3383240327373986,1.7215108017055463,-1.5040801783846718
1.2307537688442212,2.3144296027717486,1.7530685906502699,-1.5040801783846718
1.2623115577889448,2.2892830342811963,1.7846263795949935,-1.5040801783846713
1.2938693467336686,2.2629844672872235,1.816184168539717,-1.5040801783846713
1.3254271356783922,2.2356386293618926,1.8477419574844411,-1.5040801783846718
1.3569849246231158,2.207354418576061,1.8792997464291643,-1.5040801783846713
1.3885427135678394,2.1782444698396066,1.910857535373888,-1.5040801783846713
1.420100502512563,2.1484247063606166,1.9424153243186115,-1.5040801783846713
1.4516582914572866,2.1180138780097346,1.9739731132633351,-1.5040801783846711
1.4832160804020103,2.087133088428019,2.0055309022080587,-1.5040801783846711
1.5147738693467339,2.0559053127614924,2.0370886911527823,-1.5040801783846713
1.5463316582914575,2.024454907942881,2.0686464800975064,-1.5040801783846718
1.577889447236181,1.9929071174707296,2.1002042690422296,-1.5040801783846711
1.6094472361809047,1.961387572657986,2.131762057986953,-1.5040801783846713
1.6410050251256283,1.9300217923362084,2.163319846931677,-1.5040801783846713
1.672562814070352,1.8989346830077058,2.1948776358764004,-1.5040801783846713
1.7041206030150755,1.8682500414361254,2.226435424821124,-1.5040801783846713
1.7356783919597991,1.8380900616563036,2.257993213765848,-1.5040801783846718
1.767236180904523,1.808574848366588,2.2895510027105717,-1.5040801783846711
1.7987939698492466,1.7798219386414305,2.3211087916552953,-1.5040801783846718
1.8303517587939702,1.7519458338689082,2.352666580600019,-1.5040801783846711
1.8619095477386938,1.7250575437771198,2.3842243695447425,-1.5040801783846713
1.8934673366834174,1.6992641443652585,2.415782158489466,-1.5040801783846713
1.925025125628141,1.6746683514997918,2.4473399474341897,-1.5040801783846713
1.9565829145728646,1.6513681118737977,2.4788977363789133,-1.5040801783846713
1.9881407035175882,1.6294562129583607,2.510455525323637,-1.5040801783846713
2.019698492462312,1.6090199134992982,2.5420133142683605,-1.5040801783846713
2.0512562814070354,1.5901405960306767,2.573571103213084,-1.5040801783846713
2.082814070351759,1.572893442788895,2.6051288921578077,-1.5040801783846713
2.1143718592964826,1.5573471363179263,2.6366866811025313,-1.5040801783846713
2.1459296482412062,1.543563585957988,2.668244470047255,-1.5040801783846713
2.17748743718593,1.5315976813068257,2.6998022589919786,-1.5040801783846713
2.2090452261306535,1.521497073635398,2.731360047936702,-1.5040801783846713
2.240603015075377,1.5133019861284143,2.762917836881426,-1.5040801783846718
2.2721608040201007,1.507045053705398,2.7944756258261494,-1.5040801783846713
2.3037185929648243,1.5027511930601518,2.826033414770873,-1.5040801783846713
2.335276381909548,1.5004375034361535,2.8575912037155966,-1.5040801783846713
2.3668341708542715,1.5001131985330272,2.88914899266032,-1.5040801783846713
2.398391959798995,1.5017795698152516,2.920706781605044,-1.5040801783846713
